# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_protein_protein_contact	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
MIR5188	MIR5188	NR_049820.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR6501	MIR6501	NR_106756.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR6515	MIR6515	NR_106770.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR6723	MIR6723	NR_106781.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR6747	MIR6747	NR_106805.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR6776	MIR6776	NR_106834.1		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
MIR6787	MIR6787	NR_106845.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR6850	MIR6850	NR_106909.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR6889	MIR6889	NR_106949.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR7111	MIR7111	NR_106961.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR7703	MIR7703	NR_106990.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR7705	MIR7705	NR_106992.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR939	MIR939	NR_030635.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MKNK2	MKNK2	NM_199054.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MLF2	MLF2	NM_005439.2		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMACHC	MMACHC	NM_015506.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MMP14	MMP14	NM_004995.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MORF4L2	MORF4L2	NM_001142418.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
MORF4L2-AS1	MORF4L2-AS1	NR_038978.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MPHOSPH8	MPHOSPH8	NM_017520.3		0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
MRFAP1	MRFAP1	NM_001272053.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL52	MRPL52	NM_178336.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MSN	MSN	NM_002444.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT2A	MT2A	NM_005953.3		0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	MXRA8	NM_001282585.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO10	MYO10	NM_012334.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MYO1B	MYO1B	NM_001130158.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MYO1C	MYO1C	NM_001080779.1		0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NAA40	NAA40	NM_024771.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBR1	NBR1	NM_005899.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFB10	NDUFB10	NM_004548.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NDUFS1	NDUFS1	NM_001199984.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NEK7	NEK7	NM_133494.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NES	NES	NM_006617.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NETO2	NETO2	NM_018092.4		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NFXL1	NFXL1	NM_001278623.1		0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
NIPA1	NIPA1	NM_144599.4		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPEPPS	NPEPPS	NM_006310.3		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPTX1	NPTX1	NM_002522.3		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRAS	NRAS	NM_002524.4		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NRM	NRM.4	NM_001270707.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUBPL	NUBPL	NM_025152.2		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP50	NUP50	NM_007172.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NXPH4	NXPH4	NM_007224.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OSBPL3	OSBPL3	NM_015550.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PABPC1	PABPC1	NM_002568.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PAFAH1B1	PAFAH1B1	NM_000430.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PAM	PAM	NM_000919.3		0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
PAPPA	PAPPA	NM_002581.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAPPA-AS1	PAPPA-AS1	NR_103711.1		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PAQR3	PAQR3	NM_001040202.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PCSK7	PCSK7	NM_004716.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PDE1C	PDE1C	NM_001191058.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFRL	PDGFRL	NM_006207.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PDIA3	PDIA3	NM_005313.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDLIM4	PDLIM4	NM_003687.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEG10	PEG10	NM_001172437.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGAM1	PGAM1	NM_002629.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHF1	PHF1	NM_024165.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PHKG1	PHKG1	NM_001258459.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PHLDA1	PHLDA1	NM_007350.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHRF1	PHRF1.2	NM_001286581.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PINK1	PINK1	NM_032409.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PINK1-AS	PINK1-AS	NR_046507.1		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PKD1	PKD1	NM_001009944.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PLAU	PLAU	NM_002658.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PLIN3	PLIN3	NM_005817.4		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PLIN4	PLIN4	NM_001080400.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLS3	PLS3	NM_001136025.4		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PLXNA1	PLXNA1	NM_032242.3		0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
PLXNB2	PLXNB2	NM_012401.3		0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
POLDIP2	POLDIP2	NM_015584.4		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PPIA	PPIA	NM_021130.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R18	PPP1R18.2	NM_001134870.1.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRAM1	PRAM1	NM_032152.4		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PRDM8	PRDM8	NM_001099403.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PRDX1	PRDX1	NM_001202431.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PRDX3	PRDX3	NM_006793.4		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PRDX6	PRDX6	NM_004905.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PRH1	PRH1	NM_001291315.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRH1-PRR4	PRH1-PRR4	NR_037918.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRH1-TAS2R14	PRH1-TAS2R14	NM_001316893.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRKAR1A	PRKAR1A	NM_001276289.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR7	PRR7	NM_001174101.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PRRC1	PRRC1	NM_001286808.1		0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
PSAT1	PSAT1	NM_058179.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PSMD2	PSMD2	NM_002808.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME1	PSME1	NM_176783.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PSME2	PSME2	NM_002818.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PTPRM	PTPRM	NM_001105244.1		0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
PTRF	PTRF	NM_012232.5		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PXDN	PXDN	NM_012293.2		0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0
RAB13	RAB13	NM_002870.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RABGAP1	RABGAP1	NM_012197.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RANGAP1	RANGAP1	NM_001278651.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RBL2	RBL2	NM_005611.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RBM26	RBM26	NM_001286631.1		0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
RCCD1	RCCD1	NM_001017919.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RCN1	RCN1	NM_002901.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RDH5	RDH5	NM_001199771.1		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
RHOA	RHOA	NM_001313941.1		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RNF151	RNF151	NM_174903.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNF185	RNF185	NM_152267.3		0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ROCK1	ROCK1	NM_005406.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RPL10	RPL10	NM_001256577.2		0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
RPL10A	RPL10A	NM_007104.4		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RPL12	RPL12	NM_000976.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RPL13	RPL13	NM_000977.3		1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RPL21	RPL21.2	NM_000982.3.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RPL31	RPL31	NM_001098577.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RPL8	RPL8	NM_000973.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RPL9	RPL9	NM_000661.4		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RPS2	RPS2	NM_002952.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RPS27	RPS27	NM_001030.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPSA	RPSA	NM_001304288.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RRBP1	RRBP1	NM_001042576.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RTN4	RTN4	NM_020532.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUFY1	RUFY1	NM_025158.4		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SBF1	SBF1	NM_002972.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SCARB2	SCARB2	NM_005506.3		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SCARNA21	SCARNA21	NR_003000.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SCNM1	SCNM1	NM_024041.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SEMA5A	SEMA5A	NM_003966.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEPT9	SEPT9	NM_001113491.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINE1	SERPINE1	NM_000602.4		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINH1	SERPINH1	NM_001207014.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SETDB1	SETDB1	NM_001145415.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SF3A3	SF3A3	NM_006802.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SF3B2	SF3B2	NM_006842.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SH2B3	SH2B3	NM_005475.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3GLB1	SH3GLB1	NM_001206651.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHOC2	SHOC2	NM_007373.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIPA1	SIPA1	NM_006747.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SLC16A3	SLC16A3	NM_001042422.2		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SLC38A2	SLC38A2	NM_018976.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC39A14	SLC39A14	NM_001128431.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SLC41A3	SLC41A3	NM_001008485.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SMIM10L1	SMIM10L1.3	NM_001271592.1.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNHG9	SNHG9	NR_003142.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNORA10	SNORA10	NR_002327.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNORA27	SNORA27	NR_002575.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNORA31	SNORA31	NR_002967.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNORA6	SNORA6	NR_002325.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SNORA62	SNORA62	NR_002324.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNORA64	SNORA64	NR_002326.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNORA65	SNORA65	NR_002449.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNORA70	SNORA70	NR_000011.1		0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
SNORA78	SNORA78	NR_003020.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNORA86	SNORA86	NR_132768.1		0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
SNORD102	SNORD102	NR_002574.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNORD14C	SNORD14C	NR_001453.2		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
SNORD14D	SNORD14D	NR_001454.2		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
SNORD14E	SNORD14E	NR_003125.2		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
SNORD63	SNORD63	NR_002913.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SNORD68	SNORD68	NR_002450.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SNORD96A	SNORD96A	NR_002592.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SNORD97	SNORD97	NR_004403.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SNW1	SNW1	NM_012245.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SNX19	SNX19	NM_014758.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SON	SON	NM_138927.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SPDYE6	SPDYE6	NM_001146210.2		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPG7	SPG7	NM_003119.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SPOP	SPOP	NM_001007226.1		3	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0
SPOPL	SPOPL	NM_001001664.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRED2	SPRED2	NM_181784.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPTAN1	SPTAN1	NM_001130438.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SRP14	SRP14	NM_003134.5		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SRP14-AS1	SRP14-AS1	NR_040059.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SRSF9	SRSF9	NM_003769.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SSB	SSB	NM_001294145.1		0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
SSR3	SSR3	NM_001308197.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STX12	STX12	NM_177424.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
STX2	STX2	NM_194356.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUMF2	SUMF2	NM_001130069.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUPT5H	SUPT5H	NM_001111020.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SYDE1	SYDE1	NM_033025.5		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SYNGAP1	SYNGAP1	NM_006772.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TAGLN	TAGLN	NM_001001522.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TARS	TARS	NM_001258438.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TBC1D8	TBC1D8	NM_001102426.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TBX2	TBX2	NM_005994.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TCERG1	TCERG1	NM_006706.3		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
TEAD3	TEAD3	NM_003214.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TGFB1	TGFB1	NM_000660.5		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TGFBI	TGFBI	NM_000358.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TGOLN2	TGOLN2	NM_001206840.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THBS1	THBS1	NM_003246.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
THBS2	THBS2	NM_003247.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGD5	TIGD5	NM_032862.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TMC4	TMC4.5	NM_001145303.2.10		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TMED9	TMED9	NM_017510.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM106A	TMEM106A	NM_001291586.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TMEM165	TMEM165	NM_018475.4		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TMEM189	TMEM189	NM_199129.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TMEM189-UBE2V1	TMEM189-UBE2V1	NM_199203.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TMEM2	TMEM2	NM_013390.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TMEM204	TMEM204	NM_001256541.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TMEM43	TMEM43	NM_024334.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM47	TMEM47	NM_031442.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM9B	TMEM9B	NM_020644.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TMOD4	TMOD4	NM_013353.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TMSB10	TMSB10	NM_021103.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TNC	TNC	NM_002160.3		0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
TNFAIP1	TNFAIP1	NM_021137.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFAIP8L2-SCNM1	TNFAIP8L2-SCNM1	NM_001204848.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TNRC18	TNRC18	NM_001080495.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TPBG	TPBG	NM_001166392.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TPCN2	TPCN2	NM_139075.3		0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
TPM2	TPM2	NM_001301226.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TPT1	TPT1	NM_001286272.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TPT1-AS1	TPT1-AS1	NR_024458.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TRIM25	TRIM25	NM_005082.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM41	TRIM41	NM_033549.4		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TRIM8	TRIM8	NM_030912.2		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
TRIP12	TRIP12	NM_001284214.1		0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TSC2	TSC2	NM_000548.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TTYH3	TTYH3	NM_025250.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBA1A	TUBA1A	NM_001270399.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TUBB	TUBB.6	NM_001293212.1.6		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TVP23B	TVP23B	NM_016078.5		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TXNL4A	TXNL4A	NM_006701.4		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TXNRD2	TXNRD2	NM_006440.4		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
U2AF2	U2AF2	NM_007279.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
UBA52	UBA52	NM_001033930.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBASH3B	UBASH3B	NM_032873.4		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
UBC	UBC	NM_021009.6		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
UBR5	UBR5	NM_015902.5		1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
UGGT2	UGGT2	NM_020121.3		0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
UNC45A	UNC45A	NM_018671.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
UQCR10	UQCR10	NM_013387.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP20	USP20	NM_001008563.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP22	USP22	NM_015276.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP34	USP34	NM_014709.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
VCAN	VCAN	NM_004385.4		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
